"Date d'admission","0-9 ans","10-19 ans","20-29 ans","30-39 ans","40-49 ans","50-59 ans","60-69 ans","70-79 ans","80-89 ans","90 ans et plus"
"2020-02-24 00:00:00",0,0,0,0,0,0,0,1,3,0
"2020-02-25 00:00:00",0,0,0,0,0,0,0,1,1,0
"2020-02-26 00:00:00",0,0,0,0,1,0,1,1,0,0
"2020-02-27 00:00:00",0,0,0,0,0,0,0,0,1,0
"2020-02-28 00:00:00",0,0,0,0,0,0,0,0,1,1
"2020-02-29 00:00:00",0,0,0,0,0,1,1,1,2,0
"2020-03-01 00:00:00",0,0,0,0,0,0,0,1,2,0
"2020-03-02 00:00:00",0,0,0,0,0,0,0,0,0,1
"2020-03-03 00:00:00",0,0,0,0,0,0,0,1,0,0
"2020-03-04 00:00:00",0,0,0,0,0,0,0,1,0,1
"2020-03-05 00:00:00",0,0,0,0,0,0,2,0,4,1
"2020-03-06 00:00:00",0,0,0,0,1,0,0,0,2,2
"2020-03-07 00:00:00",0,0,0,0,0,0,0,0,1,1
"2020-03-08 00:00:00",0,0,0,0,0,0,0,0,3,0
"2020-03-09 00:00:00",0,0,0,0,0,1,2,2,2,0
"2020-03-10 00:00:00",0,0,0,0,0,2,2,1,1,0
"2020-03-11 00:00:00",0,0,0,0,1,1,1,2,2,3
"2020-03-12 00:00:00",0,0,0,0,0,0,0,2,2,0
"2020-03-13 00:00:00",0,0,0,0,0,1,1,3,2,1
"2020-03-14 00:00:00",0,0,0,0,0,2,0,1,2,1
"2020-03-15 00:00:00",0,0,0,0,0,0,2,2,3,1
"2020-03-16 00:00:00",0,0,0,0,0,0,0,1,3,1
"2020-03-17 00:00:00",0,0,0,1,2,0,0,5,3,0
"2020-03-18 00:00:00",0,0,0,0,0,3,4,1,4,3
"2020-03-19 00:00:00",0,0,1,0,0,3,5,2,5,2
"2020-03-20 00:00:00",0,0,0,0,0,2,5,6,7,3
"2020-03-21 00:00:00",0,0,0,1,1,3,6,8,2,2
"2020-03-22 00:00:00",0,0,2,0,2,5,8,6,8,0
"2020-03-23 00:00:00",0,0,1,2,2,2,8,7,10,2
"2020-03-24 00:00:00",1,0,1,0,1,6,6,9,15,4
"2020-03-25 00:00:00",0,0,1,0,1,8,14,14,5,4
"2020-03-26 00:00:00",0,0,0,3,4,6,10,21,17,5
"2020-03-27 00:00:00",0,0,0,2,3,9,8,12,8,0
"2020-03-28 00:00:00",0,0,1,2,1,3,9,17,11,4
"2020-03-29 00:00:00",0,0,1,1,4,12,17,17,11,8
"2020-03-30 00:00:00",0,0,1,4,6,15,7,22,13,9
"2020-03-31 00:00:00",0,0,1,3,5,15,21,13,14,9
"2020-04-01 00:00:00",1,0,6,2,13,15,11,22,12,8
"2020-04-02 00:00:00",0,1,2,5,8,8,15,16,13,7
"2020-04-03 00:00:00",0,1,3,5,7,15,19,18,21,6
"2020-04-04 00:00:00",0,1,2,1,7,12,13,18,21,12
"2020-04-05 00:00:00",0,1,2,3,3,10,15,22,16,6
"2020-04-06 00:00:00",0,1,2,6,6,15,9,29,19,12
"2020-04-07 00:00:00",0,1,0,8,10,19,14,23,29,15
"2020-04-08 00:00:00",0,0,2,3,6,18,11,30,29,14
"2020-04-09 00:00:00",1,0,1,4,14,10,22,23,28,15
"2020-04-10 00:00:00",0,0,1,5,6,19,12,21,32,14
"2020-04-11 00:00:00",0,0,2,4,8,9,18,18,25,15
"2020-04-12 00:00:00",1,0,1,5,3,15,15,17,28,14
"2020-04-13 00:00:00",1,1,5,2,7,14,11,15,21,18
"2020-04-14 00:00:00",1,0,5,2,7,7,17,21,50,19
"2020-04-15 00:00:00",1,0,1,6,14,10,18,24,40,22
"2020-04-16 00:00:00",0,0,2,3,8,10,16,32,32,15
"2020-04-17 00:00:00",0,0,1,2,4,3,13,26,39,37
"2020-04-18 00:00:00",0,0,0,3,9,16,17,24,29,21
"2020-04-19 00:00:00",1,0,2,4,6,14,12,18,35,14
"2020-04-20 00:00:00",1,0,3,2,5,12,17,24,36,15
"2020-04-21 00:00:00",2,0,3,4,12,15,22,33,44,26
"2020-04-22 00:00:00",0,2,1,4,5,13,10,27,44,23
"2020-04-23 00:00:00",0,0,3,5,4,11,12,26,30,17
"2020-04-24 00:00:00",1,0,3,2,5,10,23,20,35,20
"2020-04-25 00:00:00",0,0,0,5,5,8,14,17,31,8
"2020-04-26 00:00:00",0,1,0,3,4,10,19,27,35,17
"2020-04-27 00:00:00",1,2,0,3,2,11,16,16,37,27
"2020-04-28 00:00:00",0,0,3,2,6,9,20,27,35,20
"2020-04-29 00:00:00",1,0,2,3,8,14,14,20,37,15
"2020-04-30 00:00:00",1,0,1,2,6,13,15,23,42,15
"2020-05-01 00:00:00",0,1,1,3,7,10,19,32,36,15
"2020-05-02 00:00:00",0,0,1,1,3,10,13,19,30,13
"2020-05-03 00:00:00",2,1,2,3,10,13,19,17,31,15
"2020-05-04 00:00:00",0,1,3,3,7,15,11,18,29,17
"2020-05-05 00:00:00",0,0,1,3,4,8,20,18,35,17
"2020-05-06 00:00:00",1,0,1,4,5,8,21,18,29,13
"2020-05-07 00:00:00",3,2,0,2,4,9,10,25,27,22
"2020-05-08 00:00:00",0,2,2,8,5,8,16,13,19,14
"2020-05-09 00:00:00",0,0,1,2,4,10,5,23,23,14
"2020-05-10 00:00:00",0,0,3,5,8,13,15,10,22,7
"2020-05-11 00:00:00",1,0,1,3,11,12,11,11,28,14
"2020-05-12 00:00:00",0,0,3,5,6,10,8,18,28,7
"2020-05-13 00:00:00",0,0,0,3,4,15,13,14,27,10
"2020-05-14 00:00:00",0,1,5,3,1,7,6,24,16,9
"2020-05-15 00:00:00",1,2,4,4,4,5,18,18,27,8
"2020-05-16 00:00:00",0,1,2,1,3,7,6,15,23,11
"2020-05-17 00:00:00",0,0,1,3,3,11,7,12,23,14
"2020-05-18 00:00:00",0,0,0,4,6,4,16,14,14,8
"2020-05-19 00:00:00",1,0,0,1,3,12,15,10,16,6
"2020-05-20 00:00:00",0,0,0,4,5,7,10,10,26,10
"2020-05-21 00:00:00",0,0,0,3,4,8,10,13,25,14
"2020-05-22 00:00:00",0,0,1,3,7,5,4,10,18,16
"2020-05-23 00:00:00",2,0,5,0,3,9,6,11,18,7
"2020-05-24 00:00:00",0,0,0,2,7,8,7,12,11,6
"2020-05-25 00:00:00",0,0,2,0,6,8,6,11,12,7
"2020-05-26 00:00:00",2,2,1,1,0,5,10,11,16,11
"2020-05-27 00:00:00",1,0,1,0,3,6,10,12,16,4
"2020-05-28 00:00:00",2,0,2,0,2,7,5,18,12,2
"2020-05-29 00:00:00",0,0,1,3,4,4,3,13,9,10
"2020-05-30 00:00:00",1,0,1,1,3,3,12,5,10,3
"2020-05-31 00:00:00",0,0,0,1,2,2,5,12,13,4
"2020-06-01 00:00:00",2,0,0,4,2,5,3,13,14,6
"2020-06-02 00:00:00",0,0,1,1,2,3,5,8,5,5
"2020-06-03 00:00:00",0,0,0,3,3,1,5,17,5,4
